movie,city,theater_count,estimated_city_gross
Knives Out,Chicago,50,"$471,778.22"
The Wolf of Wall Street,Chicago,50,"$333,522.52"
The Dark Knight,Chicago,50,"$1,525,973.28"
American Psycho,Chicago,50,"$42,996.15"
John Wick,Chicago,50,"$122,788.73"
The Gentlemen,Chicago,50,"$104,055.54"
F9: The Fast Saga,Chicago,50,"$494,154.70"
Nobody,Chicago,50,"$77,796.83"
Prisoners,Chicago,50,"$174,042.09"
Catch Me If You Can,Chicago,50,"$469,654.41"
Joker,Chicago,50,"$957,056.48"
The Fast and the Furious,Chicago,50,"$412,361.27"
In Bruges,Chicago,50,"$22,131.41"
No Country for Old Men,Chicago,50,"$211,934.26"
The Departed,Chicago,50,"$377,697.93"
Kingsman: The Golden Circle,Chicago,50,"$285,974.14"
The Grand Budapest Hotel,Chicago,50,"$168,615.65"
"Three Billboards Outside Ebbing, Missouri",Chicago,50,"$155,529.96"
Irreversible,Chicago,50,"$2,149.77"
White Chicks,Chicago,50,"$202,085.94"
Sicario,Chicago,50,"$133,777.09"
John Wick: Chapter 3 - Parabellum,Chicago,50,"$487,914.84"
The Irishman,Chicago,50,"$19,971.29"
Baywatch,Chicago,50,"$165,648.11"
Mystic River,Chicago,50,"$257,159.43"
Snatch,Chicago,50,"$86,527.48"
John Wick: Chapter 2,Chicago,50,"$262,563.07"
American Hustle,Chicago,50,"$428,292.32"
Enough,Chicago,50,"$114,143.74"
Road to Perdition,Chicago,50,"$298,013.76"
Baby Driver,Chicago,50,"$307,631.65"
City of God,Chicago,50,"$21,578.68"
The Hateful Eight,Chicago,50,"$154,399.23"
House of Gucci,Chicago,50,"$153,520.94"
Batman Begins,Chicago,50,"$590,158.55"
The Equalizer,Chicago,50,"$289,671.40"
Wind River,Chicago,50,"$96,435.25"
The Longest Yard,Chicago,50,"$451,121.37"
21 Jump Street,Chicago,50,"$394,996.93"
Kill Bill: Vol. 1,Chicago,50,"$199,995.48"
Murder on the Orient Express,Chicago,50,"$293,368.38"
Now You See Me,Chicago,50,"$335,871.41"
Zootopia,Chicago,50,"$973,652.44"
Legend,Chicago,50,"$5,343.73"
Hell or High Water,Chicago,50,"$76,639.68"
Nightcrawler,Chicago,50,"$92,384.96"
Zodiac,Chicago,50,"$94,378.85"
Spotlight,Chicago,50,"$128,545.99"
Knock Knock,Chicago,50,$103.67
We're the Millers,Chicago,50,"$429,080.65"
Furious 7,Chicago,50,"$1,007,143.64"
Minority Report,Chicago,50,"$376,809.53"
Fast & Furious,Chicago,50,"$442,404.77"
Seven Psychopaths,Chicago,50,"$42,864.23"
The Nice Guys,Chicago,50,"$103,456.31"
The Town,Chicago,50,"$263,011.22"
Training Day,Chicago,50,"$218,634.00"
Fantastic Mr. Fox,Chicago,50,"$59,922.20"
Ocean's Eight,Chicago,50,"$400,049.79"
Sin City,Chicago,50,"$211,421.27"
Inside Man,Chicago,50,"$252,532.67"
Den of Thieves,Chicago,50,"$128,237.43"
The Fate of the Furious,Chicago,50,"$644,811.28"
Hannibal,Chicago,50,"$471,015.08"
Kick-Ass,Chicago,50,"$137,149.42"
Gangs of New York,Chicago,50,"$222,000.86"
Ocean's Eleven,Chicago,50,"$523,296.72"
Bad Times at the El Royale,Chicago,50,"$50,895.73"
Birds of Prey,Chicago,50,"$240,107.57"
2 Fast 2 Furious,Chicago,50,"$362,778.20"
Army of the Dead,Chicago,50,"$2,853.04"
Gone Baby Gone,Chicago,50,"$57,917.36"
Crash,Chicago,50,"$155,719.86"
The Girl with the Dragon Tattoo,Chicago,50,"$292,481.80"
Memories of Murder,Chicago,50,$40.32
Chicago,Chicago,50,"$486,978.56"
Fast Five,Chicago,50,"$598,675.57"
"O Brother, Where Art Thou?",Chicago,50,"$129,849.30"
Cruella,Chicago,50,"$245,656.09"
The House That Jack Built,Chicago,50,$248.24
Law Abiding Citizen,Chicago,50,"$209,251.79"
The Fast and the Furious: Tokyo Drift,Chicago,50,"$178,356.21"
Bad Boys II,Chicago,50,"$395,455.63"
The Iceman,Chicago,50,"$5,533.31"
City of Lies,Chicago,50,"$1,633.35"
The Equalizer 2,Chicago,50,"$291,250.91"
Swimming Pool,Chicago,50,"$28,831.42"
Hustlers,Chicago,50,"$299,465.49"
John Q,Chicago,50,"$204,725.13"
Bad Boys for Life,Chicago,50,"$588,597.40"
Taken,Chicago,50,"$413,693.82"
21,Chicago,50,"$231,551.03"
Molly's Game,Chicago,50,"$82,112.65"
BlacKkKlansman,Chicago,50,"$140,584.59"
Layer Cake,Chicago,50,"$6,672.39"
Game Night,Chicago,50,"$197,370.74"
American Gangster,Chicago,50,"$371,365.12"
