movie,city,theater_count,estimated_city_gross
Knives Out,Houston,50,"$361,130.61"
The Wolf of Wall Street,Houston,50,"$255,300.45"
The Dark Knight,Houston,50,"$1,168,082.04"
American Psycho,Houston,50,"$32,912.13"
John Wick,Houston,50,"$93,990.70"
The Gentlemen,Houston,50,"$79,651.07"
F9: The Fast Saga,Houston,50,"$378,259.07"
Nobody,Houston,50,"$59,550.90"
Prisoners,Houston,50,"$133,223.46"
Catch Me If You Can,Houston,50,"$359,504.91"
Joker,Houston,50,"$732,595.06"
The Fast and the Furious,Houston,50,"$315,648.90"
In Bruges,Houston,50,"$16,940.86"
No Country for Old Men,Houston,50,"$162,228.66"
The Departed,Houston,50,"$289,115.26"
Kingsman: The Golden Circle,Houston,50,"$218,903.74"
The Grand Budapest Hotel,Houston,50,"$129,069.70"
"Three Billboards Outside Ebbing, Missouri",Houston,50,"$119,053.03"
Irreversible,Houston,50,"$1,645.58"
White Chicks,Houston,50,"$154,690.10"
Sicario,Houston,50,"$102,401.94"
John Wick: Chapter 3 - Parabellum,Houston,50,"$373,482.66"
The Irishman,Houston,50,"$15,287.36"
Baywatch,Houston,50,"$126,798.15"
Mystic River,Houston,50,"$196,847.03"
Snatch,Houston,50,"$66,233.93"
John Wick: Chapter 2,Houston,50,"$200,983.34"
American Hustle,Houston,50,"$327,843.59"
Enough,Houston,50,"$87,373.26"
Road to Perdition,Houston,50,"$228,119.67"
Baby Driver,Houston,50,"$235,481.84"
City of God,Houston,50,"$16,517.77"
The Hateful Eight,Houston,50,"$118,187.50"
House of Gucci,Houston,50,"$117,515.20"
Batman Begins,Houston,50,"$451,746.84"
The Equalizer,Houston,50,"$221,733.87"
Wind River,Houston,50,"$73,817.99"
The Longest Yard,Houston,50,"$345,318.47"
21 Jump Street,Houston,50,"$302,357.07"
Kill Bill: Vol. 1,Houston,50,"$153,089.92"
Murder on the Orient Express,Houston,50,"$224,563.79"
Now You See Me,Houston,50,"$257,098.45"
Zootopia,Houston,50,"$745,298.71"
Legend,Houston,50,"$4,090.45"
Hell or High Water,Houston,50,"$58,665.14"
Nightcrawler,Houston,50,"$70,717.63"
Zodiac,Houston,50,"$72,243.89"
Spotlight,Houston,50,"$98,397.70"
Knock Knock,Houston,50,$79.35
We're the Millers,Houston,50,"$328,447.03"
Furious 7,Houston,50,"$770,935.12"
Minority Report,Houston,50,"$288,435.22"
Fast & Furious,Houston,50,"$338,646.21"
Seven Psychopaths,Houston,50,"$32,811.15"
The Nice Guys,Houston,50,"$79,192.38"
The Town,Houston,50,"$201,326.38"
Training Day,Houston,50,"$167,357.09"
Fantastic Mr. Fox,Houston,50,"$45,868.46"
Ocean's Eight,Houston,50,"$306,224.87"
Sin City,Houston,50,"$161,835.98"
Inside Man,Houston,50,"$193,305.40"
Den of Thieves,Houston,50,"$98,161.51"
The Fate of the Furious,Houston,50,"$493,581.69"
Hannibal,Houston,50,"$360,546.45"
Kick-Ass,Houston,50,"$104,983.34"
Gangs of New York,Houston,50,"$169,934.31"
Ocean's Eleven,Houston,50,"$400,566.32"
Bad Times at the El Royale,Houston,50,"$38,959.00"
