movie,city,theater_count,estimated_city_gross
Knives Out,Los Angeles,50,"$648,346.54"
The Wolf of Wall Street,Los Angeles,50,"$458,347.09"
The Dark Knight,Los Angeles,50,"$2,097,086.00"
American Psycho,Los Angeles,50,"$59,087.94"
John Wick,Los Angeles,50,"$168,743.79"
The Gentlemen,Los Angeles,50,"$142,999.50"
F9: The Fast Saga,Los Angeles,50,"$679,097.67"
Nobody,Los Angeles,50,"$106,913.18"
Prisoners,Los Angeles,50,"$239,179.31"
Catch Me If You Can,Los Angeles,50,"$645,427.87"
Joker,Los Angeles,50,"$1,315,245.66"
The Fast and the Furious,Los Angeles,50,"$566,692.13"
In Bruges,Los Angeles,50,"$30,414.34"
No Country for Old Men,Los Angeles,50,"$291,253.04"
The Departed,Los Angeles,50,"$519,055.64"
Kingsman: The Golden Circle,Los Angeles,50,"$393,003.19"
The Grand Budapest Hotel,Los Angeles,50,"$231,721.97"
"Three Billboards Outside Ebbing, Missouri",Los Angeles,50,"$213,738.80"
Irreversible,Los Angeles,50,"$2,954.35"
White Chicks,Los Angeles,50,"$277,718.89"
Sicario,Los Angeles,50,"$183,844.68"
John Wick: Chapter 3 - Parabellum,Los Angeles,50,"$670,522.47"
The Irishman,Los Angeles,50,"$27,445.77"
Baywatch,Los Angeles,50,"$227,643.79"
Mystic River,Los Angeles,50,"$353,404.25"
Snatch,Los Angeles,50,"$118,911.37"
John Wick: Chapter 2,Los Angeles,50,"$360,830.26"
American Hustle,Los Angeles,50,"$588,585.55"
Enough,Los Angeles,50,"$156,863.33"
Road to Perdition,Los Angeles,50,"$409,548.77"
Baby Driver,Los Angeles,50,"$422,766.26"
City of God,Los Angeles,50,"$29,654.75"
The Hateful Eight,Los Angeles,50,"$212,184.88"
House of Gucci,Los Angeles,50,"$210,977.89"
Batman Begins,Los Angeles,50,"$811,032.05"
The Equalizer,Los Angeles,50,"$398,084.19"
Wind River,Los Angeles,50,"$132,527.23"
The Longest Yard,Los Angeles,50,"$619,958.63"
21 Jump Street,Los Angeles,50,"$542,828.98"
Kill Bill: Vol. 1,Los Angeles,50,"$274,846.04"
Murder on the Orient Express,Los Angeles,50,"$403,164.81"
Now You See Me,Los Angeles,50,"$461,575.08"
Zootopia,Los Angeles,50,"$1,338,052.85"
Legend,Los Angeles,50,"$7,343.68"
Hell or High Water,Los Angeles,50,"$105,322.95"
Nightcrawler,Los Angeles,50,"$126,961.07"
Zodiac,Los Angeles,50,"$129,701.20"
Spotlight,Los Angeles,50,"$176,655.78"
Knock Knock,Los Angeles,50,$142.47
We're the Millers,Los Angeles,50,"$589,668.92"
Furious 7,Los Angeles,50,"$1,384,078.51"
Minority Report,Los Angeles,50,"$517,834.74"
Fast & Furious,Los Angeles,50,"$607,979.74"
Seven Psychopaths,Los Angeles,50,"$58,906.66"
The Nice Guys,Los Angeles,50,"$142,176.00"
The Town,Los Angeles,50,"$361,446.14"
Training Day,Los Angeles,50,"$300,460.25"
Fantastic Mr. Fox,Los Angeles,50,"$82,348.76"
Ocean's Eight,Los Angeles,50,"$549,772.93"
Sin City,Los Angeles,50,"$290,548.06"
Inside Man,Los Angeles,50,"$347,045.87"
Den of Thieves,Los Angeles,50,"$176,231.73"
The Fate of the Furious,Los Angeles,50,"$886,139.18"
Hannibal,Los Angeles,50,"$647,297.78"
Kick-Ass,Los Angeles,50,"$188,479.13"
Gangs of New York,Los Angeles,50,"$305,087.18"
Ocean's Eleven,Los Angeles,50,"$719,146.43"
Bad Times at the El Royale,Los Angeles,50,"$69,944.04"
Birds of Prey,Los Angeles,50,"$329,970.54"
2 Fast 2 Furious,Los Angeles,50,"$498,552.03"
Army of the Dead,Los Angeles,50,"$3,920.82"
Gone Baby Gone,Los Angeles,50,"$79,593.59"
Crash,Los Angeles,50,"$213,999.77"
The Girl with the Dragon Tattoo,Los Angeles,50,"$401,946.42"
Memories of Murder,Los Angeles,50,$55.41
Chicago,Los Angeles,50,"$669,235.77"
Fast Five,Los Angeles,50,"$822,736.66"
"O Brother, Where Art Thou?",Los Angeles,50,"$178,446.86"
Cruella,Los Angeles,50,"$337,595.66"
The House That Jack Built,Los Angeles,50,$341.14
Law Abiding Citizen,Los Angeles,50,"$287,566.64"
The Fast and the Furious: Tokyo Drift,Los Angeles,50,"$245,108.04"
Bad Boys II,Los Angeles,50,"$543,459.36"
The Iceman,Los Angeles,50,"$7,604.21"
City of Lies,Los Angeles,50,"$2,244.64"
The Equalizer 2,Los Angeles,50,"$400,254.85"
Swimming Pool,Los Angeles,50,"$39,621.91"
Hustlers,Los Angeles,50,"$411,543.83"
John Q,Los Angeles,50,"$281,345.82"
Bad Boys for Life,Los Angeles,50,"$808,886.62"
Taken,Los Angeles,50,"$568,523.41"
21,Los Angeles,50,"$318,211.61"
Molly's Game,Los Angeles,50,"$112,844.24"
BlacKkKlansman,Los Angeles,50,"$193,199.95"
Layer Cake,Los Angeles,50,"$9,169.61"
Game Night,Los Angeles,50,"$271,238.97"
American Gangster,Los Angeles,50,"$510,352.71"
Man on Fire,Los Angeles,50,"$305,478.38"
The Assassination of Jesse James by the Coward Robert Ford,Los Angeles,50,"$15,310.75"
Mr. & Mrs. Smith,Los Angeles,50,"$730,591.82"
Traffic,Los Angeles,50,"$486,635.96"
A History of Violence,Los Angeles,50,"$123,481.59"
The Other Guys,Los Angeles,50,"$467,440.59"
Sicario: Day of the Soldado,Los Angeles,50,"$196,324.44"
Furious 6,Los Angeles,50,"$935,821.76"
Central Intelligence,Los Angeles,50,"$499,673.27"
The Lincoln Lawyer,Los Angeles,50,"$227,443.88"
A Simple Favor,Los Angeles,50,"$209,954.60"
The Place Beyond the Pines,Los Angeles,50,"$83,840.16"
RED,Los Angeles,50,"$354,364.74"
Jack Reacher: Never Go Back,Los Angeles,50,"$230,140.92"
Collateral,Los Angeles,50,"$396,025.62"
Despicable Me,Los Angeles,50,"$986,142.15"
The Drop,Los Angeles,50,"$42,048.45"
Wanted,Los Angeles,50,"$527,384.40"
