movie,city,theater_count,estimated_city_gross
Knives Out,Miami,50,"$66,711.18"
The Wolf of Wall Street,Miami,50,"$47,161.32"
The Dark Knight,Miami,50,"$215,778.26"
American Psycho,Miami,50,"$6,079.81"
John Wick,Miami,50,"$17,362.78"
The Gentlemen,Miami,50,"$14,713.84"
F9: The Fast Saga,Miami,50,"$69,875.30"
Nobody,Miami,50,"$11,000.76"
Prisoners,Miami,50,"$24,610.20"
Catch Me If You Can,Miami,50,"$66,410.87"
Joker,Miami,50,"$135,331.32"
The Fast and the Furious,Miami,50,"$58,309.41"
In Bruges,Miami,50,"$3,129.46"
No Country for Old Men,Miami,50,"$29,968.29"
The Departed,Miami,50,"$53,407.88"
Kingsman: The Golden Circle,Miami,50,"$40,437.80"
The Grand Budapest Hotel,Miami,50,"$23,842.88"
"Three Billboards Outside Ebbing, Missouri",Miami,50,"$21,992.51"
Irreversible,Miami,50,$303.99
White Chicks,Miami,50,"$28,575.70"
Sicario,Miami,50,"$18,916.58"
John Wick: Chapter 3 - Parabellum,Miami,50,"$68,992.96"
The Irishman,Miami,50,"$2,824.01"
Baywatch,Miami,50,"$23,423.26"
Mystic River,Miami,50,"$36,363.29"
Snatch,Miami,50,"$12,235.31"
John Wick: Chapter 2,Miami,50,"$37,127.39"
American Hustle,Miami,50,"$60,562.12"
Enough,Miami,50,"$16,140.35"
Road to Perdition,Miami,50,"$42,140.25"
Baby Driver,Miami,50,"$43,500.25"
City of God,Miami,50,"$3,051.31"
The Hateful Eight,Miami,50,"$21,832.62"
House of Gucci,Miami,50,"$21,708.43"
Batman Begins,Miami,50,"$83,450.60"
The Equalizer,Miami,50,"$40,960.61"
Wind River,Miami,50,"$13,636.30"
The Longest Yard,Miami,50,"$63,790.23"
21 Jump Street,Miami,50,"$55,854.03"
Kill Bill: Vol. 1,Miami,50,"$28,280.10"
Murder on the Orient Express,Miami,50,"$41,483.37"
Now You See Me,Miami,50,"$47,493.46"
Zootopia,Miami,50,"$137,678.05"
Legend,Miami,50,$755.62
Hell or High Water,Miami,50,"$10,837.13"
Nightcrawler,Miami,50,"$13,063.57"
Zodiac,Miami,50,"$13,345.52"
Spotlight,Miami,50,"$18,176.88"
Knock Knock,Miami,50,$14.66
We're the Millers,Miami,50,"$60,673.59"
Furious 7,Miami,50,"$142,413.83"
Minority Report,Miami,50,"$53,282.26"
Fast & Furious,Miami,50,"$62,557.67"
Seven Psychopaths,Miami,50,"$6,061.16"
The Nice Guys,Miami,50,"$14,629.10"
The Town,Miami,50,"$37,190.76"
Training Day,Miami,50,"$30,915.66"
Fantastic Mr. Fox,Miami,50,"$8,473.22"
Ocean's Eight,Miami,50,"$56,568.52"
Sin City,Miami,50,"$29,895.75"
Inside Man,Miami,50,"$35,709.05"
Den of Thieves,Miami,50,"$18,133.25"
The Fate of the Furious,Miami,50,"$91,178.70"
Hannibal,Miami,50,"$66,603.27"
Kick-Ass,Miami,50,"$19,393.43"
Gangs of New York,Miami,50,"$31,391.74"
Ocean's Eleven,Miami,50,"$73,996.09"
Bad Times at the El Royale,Miami,50,"$7,196.84"
Birds of Prey,Miami,50,"$33,952.10"
2 Fast 2 Furious,Miami,50,"$51,298.18"
Army of the Dead,Miami,50,$403.43
Gone Baby Gone,Miami,50,"$8,189.73"
Crash,Miami,50,"$22,019.36"
The Girl with the Dragon Tattoo,Miami,50,"$41,358.01"
Memories of Murder,Miami,50,$5.70
Chicago,Miami,50,"$68,860.57"
Fast Five,Miami,50,"$84,654.94"
"O Brother, Where Art Thou?",Miami,50,"$18,361.17"
Cruella,Miami,50,"$34,736.68"
The House That Jack Built,Miami,50,$35.10
Law Abiding Citizen,Miami,50,"$29,588.98"
The Fast and the Furious: Tokyo Drift,Miami,50,"$25,220.23"
Bad Boys II,Miami,50,"$55,918.89"
The Iceman,Miami,50,$782.43
City of Lies,Miami,50,$230.96
The Equalizer 2,Miami,50,"$41,183.96"
Swimming Pool,Miami,50,"$4,076.87"
Hustlers,Miami,50,"$42,345.53"
John Q,Miami,50,"$28,948.89"
Bad Boys for Life,Miami,50,"$83,229.85"
Taken,Miami,50,"$58,497.84"
21,Miami,50,"$32,742.17"
Molly's Game,Miami,50,"$11,611.03"
BlacKkKlansman,Miami,50,"$19,879.18"
Layer Cake,Miami,50,$943.50
Game Night,Miami,50,"$27,908.95"
American Gangster,Miami,50,"$52,512.40"
Man on Fire,Miami,50,"$31,431.99"
The Assassination of Jesse James by the Coward Robert Ford,Miami,50,"$1,575.39"
Mr. & Mrs. Smith,Miami,50,"$75,173.76"
Traffic,Miami,50,"$50,072.08"
A History of Violence,Miami,50,"$12,705.56"
The Other Guys,Miami,50,"$48,096.99"
Sicario: Day of the Soldado,Miami,50,"$20,200.67"
Furious 6,Miami,50,"$96,290.76"
Central Intelligence,Miami,50,"$51,413.55"
