movie,city,theater_count,estimated_city_gross
Knives Out,New York,50,"$1,397,345.41"
The Wolf of Wall Street,New York,50,"$987,850.11"
The Dark Knight,New York,50,"$4,519,733.43"
American Psycho,New York,50,"$127,348.97"
John Wick,New York,50,"$363,684.16"
The Gentlemen,New York,50,"$308,198.91"
F9: The Fast Saga,New York,50,"$1,463,621.64"
Nobody,New York,50,"$230,424.05"
Prisoners,New York,50,"$515,489.93"
Catch Me If You Can,New York,50,"$1,391,054.98"
Joker,New York,50,"$2,834,676.20"
The Fast and the Furious,New York,50,"$1,221,360.19"
In Bruges,New York,50,"$65,550.35"
No Country for Old Men,New York,50,"$627,721.57"
The Departed,New York,50,"$1,118,691.91"
Kingsman: The Golden Circle,New York,50,"$847,018.03"
The Grand Budapest Hotel,New York,50,"$499,417.53"
"Three Billboards Outside Ebbing, Missouri",New York,50,"$460,659.41"
Irreversible,New York,50,"$6,367.34"
White Chicks,New York,50,"$598,552.15"
Sicario,New York,50,"$396,230.27"
John Wick: Chapter 3 - Parabellum,New York,50,"$1,445,139.97"
The Irishman,New York,50,"$59,152.35"
Baywatch,New York,50,"$490,628.07"
Mystic River,New York,50,"$761,672.63"
Snatch,New York,50,"$256,283.10"
John Wick: Chapter 2,New York,50,"$777,677.50"
American Hustle,New York,50,"$1,268,545.87"
Enough,New York,50,"$338,078.85"
Road to Perdition,New York,50,"$882,677.81"
Baby Driver,New York,50,"$911,164.74"
City of God,New York,50,"$63,913.24"
The Hateful Eight,New York,50,"$457,310.33"
House of Gucci,New York,50,"$454,708.97"
Batman Begins,New York,50,"$1,747,972.50"
The Equalizer,New York,50,"$857,968.82"
Wind River,New York,50,"$285,628.61"
The Longest Yard,New York,50,"$1,336,162.52"
21 Jump Street,New York,50,"$1,169,929.27"
Kill Bill: Vol. 1,New York,50,"$592,360.47"
Murder on the Orient Express,New York,50,"$868,918.81"
Now You See Me,New York,50,"$994,807.23"
Zootopia,New York,50,"$2,883,831.27"
Legend,New York,50,"$15,827.43"
Hell or High Water,New York,50,"$226,996.72"
Nightcrawler,New York,50,"$273,632.16"
Zodiac,New York,50,"$279,537.82"
Spotlight,New York,50,"$380,736.43"
