movie,city,theater_count,estimated_city_gross
Knives Out,Phoenix,50,"$256,040.07"
The Wolf of Wall Street,Phoenix,50,"$181,006.94"
The Dark Knight,Phoenix,50,"$828,165.23"
American Psycho,Phoenix,50,"$23,334.56"
John Wick,Phoenix,50,"$66,639.01"
The Gentlemen,Phoenix,50,"$56,472.27"
F9: The Fast Saga,Phoenix,50,"$268,184.08"
Nobody,Phoenix,50,"$42,221.34"
Prisoners,Phoenix,50,"$94,454.87"
Catch Me If You Can,Phoenix,50,"$254,887.46"
Joker,Phoenix,50,"$519,406.80"
The Fast and the Furious,Phoenix,50,"$223,793.74"
In Bruges,Phoenix,50,"$12,011.00"
No Country for Old Men,Phoenix,50,"$115,019.43"
The Departed,Phoenix,50,"$204,981.50"
Kingsman: The Golden Circle,Phoenix,50,"$155,201.83"
The Grand Budapest Hotel,Phoenix,50,"$91,509.87"
"Three Billboards Outside Ebbing, Missouri",Phoenix,50,"$84,408.10"
Irreversible,Phoenix,50,"$1,166.71"
White Chicks,Phoenix,50,"$109,674.63"
Sicario,Phoenix,50,"$72,602.54"
John Wick: Chapter 3 - Parabellum,Phoenix,50,"$264,797.62"
The Irishman,Phoenix,50,"$10,838.67"
Baywatch,Phoenix,50,"$89,899.35"
Mystic River,Phoenix,50,"$139,563.71"
Snatch,Phoenix,50,"$46,959.57"
John Wick: Chapter 2,Phoenix,50,"$142,496.34"
American Hustle,Phoenix,50,"$232,439.72"
Enough,Phoenix,50,"$61,947.27"
Road to Perdition,Phoenix,50,"$161,735.88"
Baby Driver,Phoenix,50,"$166,955.63"
City of God,Phoenix,50,"$11,711.03"
The Hateful Eight,Phoenix,50,"$83,794.44"
House of Gucci,Phoenix,50,"$83,317.78"
Batman Begins,Phoenix,50,"$320,286.60"
The Equalizer,Phoenix,50,"$157,208.38"
Wind River,Phoenix,50,"$52,336.64"
The Longest Yard,Phoenix,50,"$244,829.34"
21 Jump Street,Phoenix,50,"$214,369.89"
Kill Bill: Vol. 1,Phoenix,50,"$108,540.11"
Murder on the Orient Express,Phoenix,50,"$159,214.78"
Now You See Me,Phoenix,50,"$182,281.71"
Zootopia,Phoenix,50,"$528,413.64"
Legend,Phoenix,50,"$2,900.11"
Hell or High Water,Phoenix,50,"$41,593.34"
Nightcrawler,Phoenix,50,"$50,138.50"
Zodiac,Phoenix,50,"$51,220.61"
Spotlight,Phoenix,50,"$69,763.56"
Knock Knock,Phoenix,50,$56.26
We're the Millers,Phoenix,50,"$232,867.56"
Furious 7,Phoenix,50,"$546,589.74"
Minority Report,Phoenix,50,"$204,499.35"
Fast & Furious,Phoenix,50,"$240,098.73"
Seven Psychopaths,Phoenix,50,"$23,262.97"
The Nice Guys,Phoenix,50,"$56,147.06"
The Town,Phoenix,50,"$142,739.56"
Training Day,Phoenix,50,"$118,655.47"
Fantastic Mr. Fox,Phoenix,50,"$32,520.54"
Ocean's Eight,Phoenix,50,"$217,112.14"
Sin City,Phoenix,50,"$114,741.03"
Inside Man,Phoenix,50,"$137,052.71"
Den of Thieves,Phoenix,50,"$69,596.09"
The Fate of the Furious,Phoenix,50,"$349,947.33"
Hannibal,Phoenix,50,"$255,625.91"
Kick-Ass,Phoenix,50,"$74,432.74"
Gangs of New York,Phoenix,50,"$120,482.71"
Ocean's Eleven,Phoenix,50,"$283,999.83"
Bad Times at the El Royale,Phoenix,50,"$27,621.77"
Birds of Prey,Phoenix,50,"$130,309.45"
2 Fast 2 Furious,Phoenix,50,"$196,884.37"
Army of the Dead,Phoenix,50,"$1,548.38"
Gone Baby Gone,Phoenix,50,"$31,432.49"
Crash,Phoenix,50,"$84,511.16"
The Girl with the Dragon Tattoo,Phoenix,50,"$158,733.62"
Memories of Murder,Phoenix,50,$21.88
Chicago,Phoenix,50,"$264,289.49"
Fast Five,Phoenix,50,"$324,908.90"
"O Brother, Where Art Thou?",Phoenix,50,"$70,470.88"
Cruella,Phoenix,50,"$133,320.70"
The House That Jack Built,Phoenix,50,$134.72
Law Abiding Citizen,Phoenix,50,"$113,563.63"
The Fast and the Furious: Tokyo Drift,Phoenix,50,"$96,796.20"
Bad Boys II,Phoenix,50,"$214,618.83"
The Iceman,Phoenix,50,"$3,003.00"
City of Lies,Phoenix,50,$886.44
The Equalizer 2,Phoenix,50,"$158,065.60"
Swimming Pool,Phoenix,50,"$15,647.18"
Hustlers,Phoenix,50,"$162,523.75"
John Q,Phoenix,50,"$111,106.95"
Bad Boys for Life,Phoenix,50,"$319,439.34"
Taken,Phoenix,50,"$224,516.93"
21,Phoenix,50,"$125,665.71"
Molly's Game,Phoenix,50,"$44,563.59"
BlacKkKlansman,Phoenix,50,"$76,297.05"
Layer Cake,Phoenix,50,"$3,621.19"
Game Night,Phoenix,50,"$107,115.63"
American Gangster,Phoenix,50,"$201,544.60"
Man on Fire,Phoenix,50,"$120,637.19"
The Assassination of Jesse James by the Coward Robert Ford,Phoenix,50,"$6,046.40"
Mr. & Mrs. Smith,Phoenix,50,"$288,519.76"
Traffic,Phoenix,50,"$192,178.56"
A History of Violence,Phoenix,50,"$48,764.41"
The Other Guys,Phoenix,50,"$184,598.08"
Sicario: Day of the Soldado,Phoenix,50,"$77,530.95"
Furious 6,Phoenix,50,"$369,567.60"
Central Intelligence,Phoenix,50,"$197,327.16"
The Lincoln Lawyer,Phoenix,50,"$89,820.41"
A Simple Favor,Phoenix,50,"$82,913.67"
The Place Beyond the Pines,Phoenix,50,"$33,109.52"
RED,Phoenix,50,"$139,943.02"
Jack Reacher: Never Go Back,Phoenix,50,"$90,885.50"
Collateral,Phoenix,50,"$156,395.42"
Despicable Me,Phoenix,50,"$389,439.75"
The Drop,Phoenix,50,"$16,605.45"
Wanted,Phoenix,50,"$208,270.63"
Kill Bill: Vol. 2,Phoenix,50,"$102,515.56"
Now You See Me 2,Phoenix,50,"$100,761.80"
Slumdog Millionaire,Phoenix,50,"$218,817.24"
Under the Silver Lake,Phoenix,50,$71.35
The Italian Job,Phoenix,50,"$164,327.62"
Step Up,Phoenix,50,"$101,152.89"
Focus,Phoenix,50,"$83,400.45"
Cold Pursuit,Phoenix,50,"$49,763.24"
Horrible Bosses,Phoenix,50,"$181,994.60"
American Made,Phoenix,50,"$79,497.03"
The Girl on the Train,Phoenix,50,"$116,740.32"
Faster,Phoenix,50,"$35,984.43"
Red Dragon,Phoenix,50,"$144,231.63"
Logan Lucky,Phoenix,50,"$43,015.57"
War Dogs,Phoenix,50,"$66,633.88"
Don't Breathe,Phoenix,50,"$138,143.36"
Southpaw,Phoenix,50,"$81,169.21"
Side Effects,Phoenix,50,"$49,815.72"
Fruitvale Station,Phoenix,50,"$24,925.61"
22 Jump Street,Phoenix,50,"$296,854.79"
Burn After Reading,Phoenix,50,"$93,453.14"
3:10 to Yuma,Phoenix,50,"$83,003.99"
Broken City,Phoenix,50,"$30,504.93"
Running Scared,Phoenix,50,"$10,614.37"
RocknRolla,Phoenix,50,"$8,817.11"
Captain Phillips,Phoenix,50,"$165,833.04"
Out of the Furnace,Phoenix,50,"$17,538.27"
Minions,Phoenix,50,"$520,327.25"
Green Room,Phoenix,50,"$4,984.29"
Lucky Number Slevin,Phoenix,50,"$34,830.06"
Spring Breakers,Phoenix,50,"$21,869.00"
S.W.A.T.,Phoenix,50,"$181,059.52"
Pineapple Express,Phoenix,50,"$135,237.83"
Savages,Phoenix,50,"$73,365.54"
I Saw the Devil,Phoenix,50,$198.80
Point Break,Phoenix,50,"$44,566.28"
Monster,Phoenix,50,"$53,371.51"
Lawless,Phoenix,50,"$57,909.69"
The Hate U Give,Phoenix,50,"$46,017.11"
Black Mass,Phoenix,50,"$96,891.06"
Widows,Phoenix,50,"$65,655.48"
End of Watch,Phoenix,50,"$63,488.88"
The Forever Purge,Phoenix,50,"$68,963.77"
Perfume: The Story of a Murderer,Phoenix,50,"$3,442.51"
Eastern Promises,Phoenix,50,"$26,500.38"
The Hitman's Bodyguard,Phoenix,50,"$116,854.20"
Megamind,Phoenix,50,"$229,804.45"
Dogville,Phoenix,50,"$2,369.62"
The Mexican,Phoenix,50,"$103,445.26"
Rambo: Last Blood,Phoenix,50,"$29,222.49"
The Cell,Phoenix,50,"$94,968.56"
Smokin' Aces,Phoenix,50,"$55,219.53"
Four Brothers,Phoenix,50,"$115,345.76"
Blow,Phoenix,50,"$82,049.97"
The Pledge,Phoenix,50,"$30,533.99"
Gone in 60 Seconds,Phoenix,50,"$157,390.83"
Inferno,Phoenix,50,"$53,176.97"
Ghost in the Shell,Phoenix,50,"$62,807.88"
The Mule,Phoenix,50,"$160,728.88"
The Danish Girl,Phoenix,50,"$17,208.75"
Deja Vu,Phoenix,50,"$99,156.25"
The Punisher,Phoenix,50,"$52,153.03"
Felon,Phoenix,50,$56.91
Blackhat,Phoenix,50,"$10,989.06"
Dredd,Phoenix,50,"$20,771.10"
Public Enemies,Phoenix,50,"$150,355.05"
The Guard,Phoenix,50,"$8,298.98"
Funny Games,Phoenix,50,"$2,004.60"
The Snowman,Phoenix,50,"$10,328.89"
Miss Congeniality,Phoenix,50,"$165,379.08"
Sin City: A Dame to Kill For,Phoenix,50,"$21,302.34"
Super Troopers,Phoenix,50,"$28,626.97"
Tell No One,Phoenix,50,"$9,564.65"
In the Bedroom,Phoenix,50,"$55,634.30"
Good Time,Phoenix,50,"$3,137.79"
R.I.P.D.,Phoenix,50,"$52,054.83"
The Heat,Phoenix,50,"$247,094.20"
Runaway Jury,Phoenix,50,"$76,557.63"
Daredevil,Phoenix,50,"$158,776.55"
The Bank Job,Phoenix,50,"$46,545.39"
Bronson,Phoenix,50,$162.26
The Raid: Redemption,Phoenix,50,"$6,356.40"
The Brothers Grimsby,Phoenix,50,"$10,628.12"
Lord of War,Phoenix,50,"$37,392.86"
Papillon,Phoenix,50,"$3,616.86"
Austin Powers in Goldmember,Phoenix,50,"$330,282.11"
Ocean's Twelve,Phoenix,50,"$194,390.51"
The Girl in the Spider's Web,Phoenix,50,"$22,980.06"
Hitman,Phoenix,50,"$61,451.71"
The Old Man & the Gun,Phoenix,50,"$17,461.29"
Live by Night,Phoenix,50,"$16,069.97"
Before the Devil Knows You're Dead,Phoenix,50,"$10,967.23"
Alpha Dog,Phoenix,50,"$23,580.81"
Fracture,Phoenix,50,"$60,410.15"
Crank,Phoenix,50,"$43,091.28"
Kiss Kiss Bang Bang,Phoenix,50,"$6,570.96"
Bolt,Phoenix,50,"$176,598.52"
Freedom Writers,Phoenix,50,"$56,679.46"
The Girl with the Dragon Tattoo,Phoenix,50,"$15,631.18"
Charlie's Angels,Phoenix,50,"$194,020.86"
Inherent Vice,Phoenix,50,"$12,558.89"
The Transporter,Phoenix,50,"$39,168.57"
