movie,city,theater_count,estimated_city_gross
Knives Out,Seattle,50,"$105,842.99"
The Wolf of Wall Street,Seattle,50,"$74,825.46"
The Dark Knight,Seattle,50,"$342,350.63"
American Psycho,Seattle,50,"$9,646.14"
John Wick,Seattle,50,"$27,547.53"
The Gentlemen,Seattle,50,"$23,344.76"
F9: The Fast Saga,Seattle,50,"$110,863.13"
Nobody,Seattle,50,"$17,453.64"
Prisoners,Seattle,50,"$39,046.18"
Catch Me If You Can,Seattle,50,"$105,366.51"
Joker,Seattle,50,"$214,714.70"
The Fast and the Furious,Seattle,50,"$92,512.85"
In Bruges,Seattle,50,"$4,965.16"
No Country for Old Men,Seattle,50,"$47,547.25"
The Departed,Seattle,50,"$84,736.17"
Kingsman: The Golden Circle,Seattle,50,"$64,158.02"
The Grand Budapest Hotel,Seattle,50,"$37,828.76"
"Three Billboards Outside Ebbing, Missouri",Seattle,50,"$34,893.00"
Irreversible,Seattle,50,$482.30
White Chicks,Seattle,50,"$45,337.79"
Sicario,Seattle,50,"$30,012.76"
John Wick: Chapter 3 - Parabellum,Seattle,50,"$109,463.22"
The Irishman,Seattle,50,"$4,480.54"
Baywatch,Seattle,50,"$37,162.99"
Mystic River,Seattle,50,"$57,693.47"
Snatch,Seattle,50,"$19,412.36"
John Wick: Chapter 2,Seattle,50,"$58,905.77"
American Hustle,Seattle,50,"$96,086.97"
Enough,Seattle,50,"$25,608.04"
Road to Perdition,Seattle,50,"$66,859.10"
Baby Driver,Seattle,50,"$69,016.86"
City of God,Seattle,50,"$4,841.16"
The Hateful Eight,Seattle,50,"$34,639.32"
House of Gucci,Seattle,50,"$34,442.28"
Batman Begins,Seattle,50,"$132,401.50"
The Equalizer,Seattle,50,"$64,987.50"
Wind River,Seattle,50,"$21,635.16"
The Longest Yard,Seattle,50,"$101,208.64"
21 Jump Street,Seattle,50,"$88,617.18"
Kill Bill: Vol. 1,Seattle,50,"$44,868.79"
Murder on the Orient Express,Seattle,50,"$65,816.91"
Now You See Me,Seattle,50,"$75,352.43"
Zootopia,Seattle,50,"$218,437.99"
Legend,Seattle,50,"$1,198.86"
Hell or High Water,Seattle,50,"$17,194.04"
Nightcrawler,Seattle,50,"$20,726.48"
Zodiac,Seattle,50,"$21,173.80"
Spotlight,Seattle,50,"$28,839.17"
Knock Knock,Seattle,50,$23.26
We're the Millers,Seattle,50,"$96,263.83"
Furious 7,Seattle,50,"$225,951.70"
Minority Report,Seattle,50,"$84,536.85"
Fast & Furious,Seattle,50,"$99,253.08"
Seven Psychopaths,Seattle,50,"$9,616.55"
The Nice Guys,Seattle,50,"$23,210.32"
The Town,Seattle,50,"$59,006.31"
Training Day,Seattle,50,"$49,050.33"
Fantastic Mr. Fox,Seattle,50,"$13,443.49"
Ocean's Eight,Seattle,50,"$89,750.78"
