Movie Title,Release Date,Release Year,Domestic Revenue ($),Genre,Leading Actor,Supporting Actor,Film Rating
Glitter,September 21,2001,4274407,Drama,Mariah Carey,Eric Benét,PG-13
Fantastic Four,July 6,2005,154696080,Action,Ioan Gruffudd,Michael Chiklis,PG-13
Frida,October 25,2002,25885000,Biography,Salma Hayek,Alfred Molina,R
From Hell,October 19,2001,31602566,Horror,Johnny Depp,Heather Graham,R
The Lord of the Rings: The Fellowship of the Ring,December 19,2001,315544750,Action,Elijah Wood,Ian McKellen,PG-13
Mission: Impossible II,May 24,2000,215409889,Action,Tom Cruise,Dougray Scott,PG-13
Resident Evil,March 15,2002,40119709,Action,Milla Jovovich,Michelle Rodriguez,R
The Shipping News,December 25,2001,11434216,Drama,Kevin Spacey,Julianne Moore,R
X-Men,July 13,2000,157299718,Action,Patrick Stewart,Hugh Jackman,PG-13
Men in Black II,July 3,2002,193735288,Action,Tommy Lee Jones,Will Smith,PG-13
Titan A.E.,June 16,2000,22753426,Action,Matt Damon,Drew Barrymore,PG
Star Wars: Episode II - Attack of the Clones,May 16,2002,310676740,Action,Hayden Christensen,Natalie Portman,PG
Star Wars: Episode III - Revenge of the Sith,May 18,2005,380270577,Action,Hayden Christensen,Natalie Portman,PG-13
Return to Me,April 7,2000,32722798,Comedy,David Duchovny,Minnie Driver,PG
Heartbreakers,March 23,2001,40336607,Comedy,Sigourney Weaver,Jennifer Love Hewitt,PG-13
Shrek,May 16,2001,267665011,Adventure,Mike Myers,Eddie Murphy,PG
Dinosaur,May 19,2000,137748063,Adventure,D.B. Sweeney,Julianna Margulies,PG
The Adventures of Rocky & Bullwinkle,June 30,2000,26005820,Adventure,Robert De Niro,Rene Russo,PG
Driven,April 27,2001,32720065,Action,Sylvester Stallone,Kip Pardue,PG-13
Planet of the Apes,July 27,2001,180011740,Action,Mark Wahlberg,Helena Bonham Carter,PG-13
Treasure Planet,November 6,2002,38176783,Adventure,Joseph Gordon-Levitt,Emma Thompson,PG
Scream 3,February 4,2000,89143175,Horror,David Arquette,Neve Campbell,R
